student_id,gender,study_hours_per_day,attendance_percent,previous_exam_score,parental_education,extracurricular_activity,sleep_hours,final_exam_score
S1408,Female,4.0,82.8,74.3,High School,No,5.0,70.1
S1409,Female,2.7,62.0,95.9,Masters,No,7.7,51.5
S1410,Male,3.7,91.2,65.3,Bachelors,Yes,6.3,73.7
S1411,Female,5.2,85.5,54.1,Bachelors,No,5.4,65.9
S1412,Female,5.9,92.0,62.3,Bachelors,No,6.3,71.6
S1413,Male,2.8,53.0,85.6,Bachelors,No,8.3,78.9
S1414,Male,6.1,100.0,55.3,High School,No,6.2,68.5
S1415,Male,6.9,80.6,53.0,Bachelors,Yes,7.2,70.8
S1416,Male,5.2,,57.8,High School,No,5.9,82.9
S1417,Female,7.9,71.6,50.7,Masters,Yes,7.7,68.7
S1418,Female,3.1,88.1,66.8,Masters,No,7.6,62.9
S1419,Female,2.3,71.5,89.4,Masters,No,9.0,69.0
S1420,Female,1.3,75.8,69.8,Bachelors,Yes,6.6,65.3
S1421,Female,7.2,100.0,61.2,Bachelors,No,,82.3
S1422,Female,5.7,80.1,60.6,High School,Yes,6.9,62.8
S1423,Male,4.4,84.2,41.6,Masters,No,8.4,58.6
S1424,Female,5.0,90.7,78.2,High School,No,5.9,70.6
S1425,Male,2.5,87.0,63.8,Bachelors,Yes,7.7,65.1
S1426,Male,8.9,83.5,62.3,High School,Yes,6.6,86.0
S1427,Female,4.7,85.6,100.0,High School,No,6.7,84.4
S1428,Male,4.7,100.0,69.5,Bachelors,Yes,6.9,64.3
S1429,Female,5.8,81.4,53.7,High School,No,7.1,75.8
S1430,Male,5.4,84.0,58.6,Masters,No,,70.6
S1431,Female,4.9,92.5,82.2,High School,No,7.1,87.9
S1432,Male,3.1,93.1,66.7,High School,Yes,8.7,74.7
S1433,Female,5.3,93.9,43.4,Bachelors,No,8.0,75.3
S1434,Female,7.9,88.4,78.8,High School,No,7.8,89.9
S1435,Female,6.9,70.6,55.0,High School,Yes,6.3,79.9
S1436,Female,7.4,98.3,93.1,Masters,No,5.7,93.0
S1437,Female,3.6,70.5,81.2,High School,No,7.9,68.7
S1438,Male,2.7,85.0,58.3,Masters,No,7.9,78.1
S1439,Male,4.3,74.5,84.2,High School,Yes,8.6,83.0
S1440,Male,4.6,81.4,66.0,High School,No,6.1,71.3
S1441,Female,6.5,85.3,77.8,Masters,Yes,6.5,72.2
S1442,Male,1.5,85.2,72.3,High School,Yes,4.8,51.6
S1443,Female,7.3,86.2,52.3,High School,No,6.3,74.7
S1444,Female,4.2,,55.3,Bachelors,No,8.0,70.3
S1445,Male,3.7,,80.4,High School,Yes,6.2,68.6
S1446,Male,2.7,79.6,60.0,Masters,Yes,7.6,63.9
S1447,Female,1.5,91.6,58.9,High School,Yes,6.6,71.3
S1448,Male,6.0,93.9,50.7,Masters,Yes,7.2,78.1
S1449,Female,4.6,69.7,71.4,Masters,Yes,5.4,59.2
S1450,Female,2.2,88.0,95.9,Bachelors,Yes,6.9,74.2
S1451,Female,2.2,89.0,49.0,Masters,No,3.2,45.6
S1452,Female,3.9,79.0,65.4,Bachelors,No,6.6,62.3
S1453,Female,7.5,95.8,86.2,PhD,No,4.8,82.4
S1454,Male,4.0,80.5,63.8,High School,No,8.2,64.2
S1455,Male,1.8,83.3,71.8,Bachelors,Yes,7.7,56.5
S1456,Female,4.1,80.3,49.1,Bachelors,No,7.4,60.6
S1457,Female,4.0,82.2,71.4,Bachelors,No,8.6,67.3
S1458,Male,0.0,71.0,62.2,Bachelors,No,5.7,27.6
S1459,Male,4.4,67.6,79.8,Masters,No,8.9,86.6
S1460,Female,4.1,97.9,82.8,High School,No,7.9,86.0
S1461,Male,5.8,73.5,100.0,High School,No,6.5,79.1
S1462,Female,7.8,72.1,73.7,Masters,Yes,8.2,83.2
S1463,Male,6.5,60.5,69.9,Bachelors,No,5.5,60.4
S1464,Female,4.0,75.6,67.9,PhD,No,5.8,76.0
S1465,Male,2.5,68.8,59.7,Masters,No,6.1,68.5
S1466,Female,9.1,98.4,70.1,PhD,No,6.2,88.7
S1467,Male,4.6,92.1,60.6,Masters,Yes,5.5,76.4
S1468,Male,4.5,75.1,67.5,High School,Yes,8.3,72.5
S1469,Female,4.5,100.0,84.8,High School,No,6.5,69.5
S1470,Male,4.9,91.8,49.9,Masters,No,7.2,64.0
S1471,Female,4.2,78.8,82.1,Bachelors,No,6.1,71.9
S1472,Male,3.5,57.0,84.8,High School,Yes,4.6,60.8
S1473,Female,3.5,100.0,63.2,Bachelors,Yes,7.1,69.4
S1474,Male,4.4,68.1,33.2,PhD,No,4.5,48.8
S1475,Female,3.5,65.5,55.9,Bachelors,No,6.7,56.6
S1476,Male,3.2,92.2,84.5,Bachelors,No,,71.0
S1477,Female,4.7,100.0,64.7,Bachelors,No,9.2,69.1
S1478,Male,4.0,95.8,50.0,High School,No,7.9,61.1
S1479,Female,7.2,87.6,57.4,Bachelors,Yes,,68.4
S1480,Female,0.0,87.9,77.6,Bachelors,No,8.3,68.4
S1481,Female,6.5,90.5,73.2,High School,No,5.8,63.0
S1482,Male,6.7,89.6,61.4,Masters,No,7.5,84.7
S1483,Female,0.8,84.8,59.5,Bachelors,No,7.0,64.8
S1484,Male,3.9,83.0,59.1,Masters,No,7.1,62.4
S1485,Female,3.8,81.4,51.2,Masters,Yes,8.3,46.7
S1486,Male,2.0,74.5,89.2,High School,No,7.7,65.3
S1487,Female,3.1,79.2,60.2,Bachelors,Yes,7.1,63.0
S1488,Male,2.5,65.1,83.3,Bachelors,No,4.8,53.6
S1489,Male,7.7,81.0,87.8,Masters,Yes,5.6,82.4
S1490,Female,6.2,72.1,80.0,High School,Yes,6.7,88.6
S1491,Male,6.8,71.0,58.5,Bachelors,No,6.9,75.0
S1492,Male,5.8,83.8,71.1,Bachelors,Yes,5.4,68.0
S1493,Female,2.5,95.9,64.6,High School,No,9.7,58.0
S1494,Male,3.6,91.2,51.4,High School,No,8.6,62.9
S1495,Male,5.4,66.3,69.9,Bachelors,Yes,7.5,70.1
S1496,Male,2.3,72.1,47.3,Masters,No,6.9,55.8
S1497,Female,5.8,91.4,82.8,High School,No,6.5,76.4
S1498,Male,4.1,72.2,58.0,Bachelors,No,5.7,63.6
S1499,Female,3.8,79.8,68.0,Bachelors,Yes,6.9,81.8
S1304,Female,4.6,79.5,56.5,High School,No,7.0,67.2
S1340,Male,5.0,88.1,57.7,Bachelors,Yes,9.1,64.3
S1047,Male,5.6,86.7,89.6,High School,Yes,6.4,84.1
S1067,Male,3.6,100.0,46.9,High School,Yes,7.1,61.9
S1479,Female,7.2,87.6,57.4,Bachelors,Yes,,68.4
S1485,Female,3.8,81.4,51.2,Masters,Yes,8.3,46.7
S1310,Female,2.9,76.3,80.4,PhD,No,6.7,70.3
S1031,Male,4.6,81.4,97.2,High School,Yes,7.5,85.5
